X,Y,osm_id,amenity,name,brand,addr:housenumber,operator,construction,shop,addr:housename,leisure,layer,sport,historic,building,website,cuisine,brand:wikidata,brand:wikipedia,wheelchair,toilets:wheelchair,level,payment:mastercard,payment:american_express,capacity,addr:city,payment:cash,addr:postcode,description,outdoor_seating,opening_hours,payment:visa,delivery,phone,payment:debit_cards,takeaway,smoking,payment:credit_cards,email,addr:street,llbo,addr:province,addr:country,name:en,contact:facebook,alt_name,wheelchair:description,diet:halal,microbrewery,diet:vegan,diet:gluten_free,addr:unit,internet_access,short_name,Payments,year,cater,name:ko,drinking_water,internet_access:fee,drink,catering,addr:floor,old_name,indoor_seating,name_1,name:ar,drive_through,cuisine_1,cuisine_2,official_name,hst_number,payment:interac,payment:discover_card,facebook,name:ru,diet:vegetarian,air_conditioning,diet,addr:hamlet,eat_in,name:fr,dine_in,wifi,opendata:type,type,name:it,payment:bitcoin,atm,stars:system,stars,diet:pescetarian,diet:meat,bar,reservation,unit,addr:building,source_1,gst_number,capacity:indoors,capacity:outdoors,not:name,addr:place,owner,dog,name:vi,stars:date,payment:coins,payment:coinkite,url,fax,opening_hours:url,entrance,est_date,name:zh,take_out,max_occupancy,addr:subdistrict,toilets,toilets:access,wikipedia,wikidata,vacant,floor,FIXME,brewery,building:levels,wikipedia:en,start_date,store_ref,opening_hours:delivery,valet,parking,store_name,opening_hours:signed,seating,barbecue,self_service,halal,int_name,designation,contact:yellowpages,payment:notes,contact:yelp,nudism
-79.9805028,43.3945372,2801523303,restaurant,Cascata Bistro,,,,,,,,,,,,www.cascatabistro.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.910992,43.3173118,2620558065,restaurant,Sunset Grill,Sunset Grill,,,,,,,,,,,,american,Q62112489,en:Sunset Grill (Canadian restaurant chain),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.911501,43.3185788,1866577533,restaurant,Montfort Grill House,,,,,,,,,,,,http://www.montfortrestaurant.ca,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.9117033,43.3192513,7196226409,restaurant,Stacked Pancake & Breakfast House,,,,,,,,,,,,,breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8322498,43.3226533,4044978962,restaurant,Skyway Diner,,,,,,,,,,,,,,,,limited,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8207361,43.3255336,6632429813,restaurant,Earls,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8208316,43.3257062,6632427719,restaurant,Turtle Jack's,,,,,,,,,,,,,"canadian;asian",,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8986975,43.3312526,7196261781,restaurant,Sushi Ya,,,,,,,,,,,,,sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8977352,43.3321957,2620558073,restaurant,Turtle Jacks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8972593,43.332741,5509370519,restaurant,Symposium Cafe Restaurant & Lounge,,64,,,,,,,,,,https://symposiumcafe.com/locations/waterdown-restaurants,"breakfast;burger;dessert;regional;coffee_shop;american;sandwich;seafood;international",,,,,,yes,yes,200,Waterdown,yes,L0R 2H6,"BREAKFAST, BRUNCH, BURGERS, DESSERTS & MORE",yes,"Su-Th 08:00-24:00, Fr-Sa 08:00-01:00",yes,yes,+1-905-645-0107,yes,yes,no,yes,symposium.waterdown@symposiumcafe.com,Hamilton Street North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8969441,43.332611,7196277788,restaurant,Angels Diner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8951319,43.3318154,7196222026,restaurant,Thai Waterdown,,,,,,,,,,,,,thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8926237,43.3329996,2594728391,restaurant,Lord Byron's Steak and Seafood House,,,,,,,,,,,,,"Steak,_Seafood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8935488,43.3336062,2594728395,restaurant,Waterdown Fish and Chips,,,,,,,,,,,,,fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8924165,43.3336069,4359560881,restaurant,Bliss Kitchen,,,,,,,,,,,,http://blisskitchen.ca/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8915381,43.3343904,4443096357,restaurant,Marciano's Pizza Cafe,,,,,,,,,,,,,italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8443215,43.3480379,2953470864,restaurant,Patio & Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.828733,43.342672,2168883185,restaurant,Le Chinois,,1250,,,,,,,,,,,chinese,,,,,,,,,Burlington,,,,,,,,,,,,,,Brant Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8285759,43.3426141,1867488097,restaurant,Halibut N Malt Fish and Chips,,1250,,,,,,,,,,,fish_and_chips,,,,,,,,,Burlington,,,,,,,,,,,,,,Brant Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8280074,43.3474498,3364119565,restaurant,Mount Royal Family Restaurant,,2029,,,,,,,,,,,breakfast,,,,,,,,,Burlington,,L7P 1X7,,,,,,,,,,,,Mount Forest Drive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8200038,43.330786,3364104011,restaurant,Sunset Grill,Sunset Grill,1235,,,,,,,,,,,american,Q62112489,en:Sunset Grill (Canadian restaurant chain),,,,,,,Burlington,,,,,06:30-15:30,,,+1-905-633-6868,,,,,,Fairview Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.817868,43.336811,7061714261,restaurant,Afghan Kebab Cuisine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8174338,43.3388586,1597735280,restaurant,Imi Japanese Cuisine,,2011,,,,,,,,,,,japanese,,,,,,,,,,,L7R 3R3,,,,,,,,,,,,Plains Road East,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8173764,43.338839,2168903430,restaurant,Pho 26,,,,,,,,,,,,,vietnamese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8151438,43.3349028,3445378302,restaurant,Mandarin,,1881,,,,,,,,,,,chinese,,,,,,,,,Burlington,,L7S 2K4,,,,,,,,,no,,,Fairview Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8101857,43.3336856,1969287577,restaurant,Montfort,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.811534,43.334535,1969287959,restaurant,August 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8263914,43.3426855,1867512886,restaurant,Stacked Pancake & Breakfast House,,,,,,,,,,,,https://www.eq3.com/,breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8258731,43.3435094,1634783663,restaurant,Swiss Chalet,Swiss Chalet,,,,,,,,,,,,chicken,Q2372909,en:Swiss Chalet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8249582,43.342698,7061727756,restaurant,Nando's,Nando's,,,,,,,,,,,,"chicken;portuguese",Q3472954,en:Nando's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8168304,43.3492785,1766409142,restaurant,Windmill Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.845047,43.3559807,7061674982,restaurant,Bo-Chin Chinese Food,,,,,,,,,,,,,chinese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8426228,43.3571034,2698208729,restaurant,Pita Republic,,,,,,,,,,,,http://pitas-republic.com,,,,,,,,,,,,,,,,,,+1-289-635-5586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8435828,43.3582731,2698208735,restaurant,Yummy Wok,,,,,,,,,,,,www.yummywok3367263.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.827187,43.3673349,7061058096,restaurant,Golden Harvest Asian Cuisine,,,,,,,,,,,,,asian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-79.8269113,43.3676682,7061058090,restaurant,Primal Cravings,,,,,,,,,,,,,paleo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
